ID,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,14/170,367/17872,1.14198497381629e-05,0.0240159439993566,0.0223228010144932,FAS/IL7/CTSC/ACVR1/TRIM32/TNFSF10/BMP4/FIGNL1/MDM2/SH3RF1/ING2/FEM1B/BDNF/SOD2,14
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION,5/170,42/17872,4.69749501879478e-05,0.0382883167348531,0.0355889602205482,TENT5A/ACVR1/BMP4/ADRB2/FAM20C,5
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,10/170,227/17872,6.47622244370345e-05,0.0382883167348531,0.0355889602205482,IL7/ACVR1/TRIM32/BMP4/FIGNL1/MDM2/SH3RF1/ING2/BDNF/SOD2,10
GOBP_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,13/170,395/17872,0.000106984637383404,0.0382883167348531,0.0355889602205482,KEAP1/WDR91/CTSC/TRIM32/MDM2/RNF144B/PRICKLE1/PLK2/EGFR/SH3RF1/RNF139/LRIG2/F8A2,13
GOBP_POSITIVE_REGULATION_OF_OSSIFICATION,5/170,51/17872,0.000121068146124711,0.0382883167348531,0.0355889602205482,TENT5A/ACVR1/BMP4/ADRB2/FAM20C,5
GOBP_REGULATION_OF_OSSIFICATION,7/170,117/17872,0.000128353445840977,0.0382883167348531,0.0355889602205482,DKK1/TENT5A/ACVR1/BMP4/RBPJ/ADRB2/FAM20C,7
GOBP_CARDIAC_MUSCLE_CELL_FATE_COMMITMENT,3/170,11/17872,0.000131910777561199,0.0382883167348531,0.0355889602205482,DKK1/ACVR1/RBPJ,3
GOBP_POSITIVE_REGULATION_OF_BIOMINERALIZATION,5/170,53/17872,0.000145652179685604,0.0382883167348531,0.0355889602205482,TENT5A/ACVR1/BMP4/ADRB2/FAM20C,5
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT,4/170,31/17872,0.000203457968535182,0.0475413453143876,0.0441896429906238,DKK1/ACVR1/BMP4/RBPJ,4
